Age_group,Region,Year,Deaths
55-64 years,Queensland,2016,2782
55-64 years,Queensland,2017,2871
55-64 years,Queensland,2018,2957
55-64 years,Queensland,2019,3037
55-64 years,Queensland,2020,2924
55-64 years,Queensland,2021,3074
55-64 years,Queensland,2022,3298
55-64 years,Queensland,2023,3236
65-74 years,Queensland,2014,4799
65-74 years,Queensland,2015,4988
65-74 years,Queensland,2016,5133
65-74 years,Queensland,2017,5426
65-74 years,Queensland,2018,5418
65-74 years,Queensland,2019,5655
65-74 years,Queensland,2020,5473
65-74 years,Queensland,2021,5827
65-74 years,Queensland,2022,6169
65-74 years,Queensland,2023,6136
75-84 years,Queensland,2014,7436
75-84 years,Queensland,2015,7619
75-84 years,Queensland,2016,7560
75-84 years,Queensland,2017,8094
75-84 years,Queensland,2018,7961
75-84 years,Queensland,2019,8363
75-84 years,Queensland,2020,8570
75-84 years,Queensland,2021,9256
75-84 years,Queensland,2022,10745
75-84 years,Queensland,2023,10538
85 years and over,Queensland,2014,10608
85 years and over,Queensland,2015,11061
85 years and over,Queensland,2016,11208
85 years and over,Queensland,2017,11792
85 years and over,Queensland,2018,11431
85 years and over,Queensland,2019,11921
85 years and over,Queensland,2020,11485
85 years and over,Queensland,2021,12660
85 years and over,Queensland,2022,14564
85 years and over,Queensland,2023,13792
All persons,Queensland,2014,28776
All persons,Queensland,2015,29779
All persons,Queensland,2016,29924
All persons,Queensland,2017,31522
All persons,Queensland,2018,31006
All persons,Queensland,2019,32083
All persons,Queensland,2020,31755
All persons,Queensland,2021,34082
All persons,Queensland,2022,38227
All persons,Queensland,2023,37141
Under 1 year,South Australia,2014,60
Under 1 year,South Australia,2015,55
Under 1 year,South Australia,2016,60
Under 1 year,South Australia,2017,59
Under 1 year,South Australia,2018,66
Under 1 year,South Australia,2019,44
Under 1 year,South Australia,2020,41
Under 1 year,South Australia,2021,54
Under 1 year,South Australia,2022,60
Under 1 year,South Australia,2023,45
1-14 years,South Australia,2014,30
1-14 years,South Australia,2015,31
1-14 years,South Australia,2016,31
1-14 years,South Australia,2017,38
1-14 years,South Australia,2018,31
1-14 years,South Australia,2019,29
1-14 years,South Australia,2020,23
1-14 years,South Australia,2021,29
1-14 years,South Australia,2022,30
1-14 years,South Australia,2023,41
15-24 years,South Australia,2014,74
15-24 years,South Australia,2015,68
15-24 years,South Australia,2016,64
15-24 years,South Australia,2017,89
15-24 years,South Australia,2018,72
15-24 years,South Australia,2019,79
15-24 years,South Australia,2020,84
15-24 years,South Australia,2021,87
15-24 years,South Australia,2022,78
15-24 years,South Australia,2023,66
25-34 years,South Australia,2014,135
25-34 years,South Australia,2015,126
25-34 years,South Australia,2016,145
25-34 years,South Australia,2017,140
25-34 years,South Australia,2018,130
25-34 years,South Australia,2019,131
25-34 years,South Australia,2020,133
25-34 years,South Australia,2021,139
25-34 years,South Australia,2022,147
25-34 years,South Australia,2023,106
35-44 years,South Australia,2014,275
35-44 years,South Australia,2015,250
35-44 years,South Australia,2016,246
35-44 years,South Australia,2017,243
35-44 years,South Australia,2018,205
35-44 years,South Australia,2019,256
35-44 years,South Australia,2020,234
35-44 years,South Australia,2021,242
35-44 years,South Australia,2022,253
35-44 years,South Australia,2023,245
45-54 years,South Australia,2014,564
45-54 years,South Australia,2015,594
45-54 years,South Australia,2016,567
45-54 years,South Australia,2017,606
45-54 years,South Australia,2018,557
45-54 years,South Australia,2019,582
45-54 years,South Australia,2020,549
45-54 years,South Australia,2021,545
45-54 years,South Australia,2022,517
45-54 years,South Australia,2023,547
55-64 years,South Australia,2014,1124
55-64 years,South Australia,2015,1130
55-64 years,South Australia,2016,1119
55-64 years,South Australia,2017,1171
55-64 years,South Australia,2018,1190
55-64 years,South Australia,2019,1183
55-64 years,South Australia,2020,1166
55-64 years,South Australia,2021,1156
55-64 years,South Australia,2022,1267
55-64 years,South Australia,2023,1243
65-74 years,South Australia,2014,1862
65-74 years,South Australia,2015,1924
65-74 years,South Australia,2016,1965
65-74 years,South Australia,2017,2151
65-74 years,South Australia,2018,2106
65-74 years,South Australia,2019,2094
65-74 years,South Australia,2020,2134
65-74 years,South Australia,2021,2211
65-74 years,South Australia,2022,2399
65-74 years,South Australia,2023,2303
75-84 years,South Australia,2014,3480
75-84 years,South Australia,2015,3472
75-84 years,South Australia,2016,3308
75-84 years,South Australia,2017,3460
75-84 years,South Australia,2018,3470
75-84 years,South Australia,2019,3463
75-84 years,South Australia,2020,3557
75-84 years,South Australia,2021,3636
75-84 years,South Australia,2022,4240
75-84 years,South Australia,2023,4174
85 years and over,South Australia,2014,5780
85 years and over,South Australia,2015,5890
85 years and over,South Australia,2016,5916
85 years and over,South Australia,2017,6089
85 years and over,South Australia,2018,5780
85 years and over,South Australia,2019,6093
85 years and over,South Australia,2020,5869
85 years and over,South Australia,2021,6284
85 years and over,South Australia,2022,6941
85 years and over,South Australia,2023,6604
All persons,South Australia,2014,13386
All persons,South Australia,2015,13540
All persons,South Australia,2016,13421
All persons,South Australia,2017,14046
All persons,South Australia,2018,13607
All persons,South Australia,2019,13954
All persons,South Australia,2020,13791
All persons,South Australia,2021,14383
All persons,South Australia,2022,15933
All persons,South Australia,2023,15374
Under 1 year,Tasmania,2014,31
Under 1 year,Tasmania,2015,22
Under 1 year,Tasmania,2016,26
Under 1 year,Tasmania,2017,21
Under 1 year,Tasmania,2018,22
Under 1 year,Tasmania,2019,18
Under 1 year,Tasmania,2020,20
Under 1 year,Tasmania,2021,21
Under 1 year,Tasmania,2022,15
Under 1 year,Tasmania,2023,24
1-14 years,Tasmania,2014,16
1-14 years,Tasmania,2015,5
1-14 years,Tasmania,2016,7
1-14 years,Tasmania,2017,9
1-14 years,Tasmania,2018,2
1-14 years,Tasmania,2019,7
1-14 years,Tasmania,2020,10
1-14 years,Tasmania,2021,13
1-14 years,Tasmania,2022,6
1-14 years,Tasmania,2023,9
15-24 years,Tasmania,2014,20
15-24 years,Tasmania,2015,41
15-24 years,Tasmania,2016,30
15-24 years,Tasmania,2017,26
15-24 years,Tasmania,2018,27
15-24 years,Tasmania,2019,25
15-24 years,Tasmania,2020,29
15-24 years,Tasmania,2021,20
15-24 years,Tasmania,2022,22
15-24 years,Tasmania,2023,22
25-34 years,Tasmania,2014,46
25-34 years,Tasmania,2015,41
25-34 years,Tasmania,2016,45
25-34 years,Tasmania,2017,46
25-34 years,Tasmania,2018,38
25-34 years,Tasmania,2019,45
25-34 years,Tasmania,2020,40
25-34 years,Tasmania,2021,38
25-34 years,Tasmania,2022,44
25-34 years,Tasmania,2023,42
35-44 years,Tasmania,2014,77
35-44 years,Tasmania,2015,74
35-44 years,Tasmania,2016,82
35-44 years,Tasmania,2017,80
35-44 years,Tasmania,2018,87
35-44 years,Tasmania,2019,72
35-44 years,Tasmania,2020,75
35-44 years,Tasmania,2021,69
35-44 years,Tasmania,2022,71
35-44 years,Tasmania,2023,75
45-54 years,Tasmania,2014,207
45-54 years,Tasmania,2015,190
45-54 years,Tasmania,2016,212
45-54 years,Tasmania,2017,184
45-54 years,Tasmania,2018,181
45-54 years,Tasmania,2019,216
45-54 years,Tasmania,2020,175
45-54 years,Tasmania,2021,182
45-54 years,Tasmania,2022,208
45-54 years,Tasmania,2023,203
55-64 years,Tasmania,2014,428
55-64 years,Tasmania,2015,435
55-64 years,Tasmania,2016,449
55-64 years,Tasmania,2017,473
55-64 years,Tasmania,2018,388
55-64 years,Tasmania,2019,436
55-64 years,Tasmania,2020,409
55-64 years,Tasmania,2021,422
55-64 years,Tasmania,2022,452
55-64 years,Tasmania,2023,389
65-74 years,Tasmania,2014,757
65-74 years,Tasmania,2015,812
65-74 years,Tasmania,2016,837
65-74 years,Tasmania,2017,867
